rank,feature,mifs_score
0,"sossheig_anom_z_(0.0,192.0)_lag0",0.34617089121752054
1,"t2m_anom_z_(-2.0,198.0)_lag5",0.17190113634457926
2,"sohtc300_anom_z_(-10.0,276.0)_lag9",0.14888667857762483
3,"so20chgt_anom_z_(4.0,228.0)_lag1",0.14177663467148305
4,"avg_iews_anom_z_(4.0,168.0)_lag0",0.14529314561213447
5,"so20chgt_anom_z_(2.0,232.0)_lag8",0.10843262638653606
6,"so20chgt_anom_z_(-2.0,198.0)_lag0",0.12163688236685122
7,"t2m_anom_z_(10.0,200.0)_lag0",0.116829454730357
8,"sst_anom_z_(-12.0,264.0)_lag6",0.11999469905770788
9,"sossheig_anom_z_(0.0,250.0)_lag0",0.12566039749822844
10,"sst_anom_z_(-4.0,270.0)_lag9",0.09846501143002806
11,"sst_anom_z_(2.0,176.0)_lag1",0.09998199143907938
12,"so20chgt_anom_z_(2.0,206.0)_lag1",0.09621363457904053
13,"avg_iews_anom_z_(4.0,150.0)_lag0",0.09038473273538106
14,"sohtc300_anom_z_(-12.0,272.0)_lag7",0.08562659605918554
15,"t2m_anom_z_(-2.0,202.0)_lag4",0.07621695746146218
16,"so20chgt_anom_z_(0.0,204.0)_lag0",0.07790648126848154
17,"sossheig_anom_z_(2.0,170.0)_lag6",0.07856391610194136
18,"t2m_anom_z_(6.0,214.0)_lag0",0.06635646164552877
19,"t2m_anom_z_(-10.0,258.0)_lag7",0.06981859053302797
20,"so20chgt_anom_z_(-2.0,230.0)_lag0",0.06710688784780094
21,"sst_anom_z_(-2.0,206.0)_lag7",0.06183994890615585
22,"so20chgt_anom_z_(0.0,202.0)_lag2",0.06281284663934361
23,"sohtc300_anom_z_(-10.0,274.0)_lag5",0.05718078204437482
24,"sst_anom_z_(6.0,190.0)_lag1",0.06279201353239428
25,"avg_iews_anom_z_(4.0,156.0)_lag0",0.057863339947152426
26,"so20chgt_anom_z_(-2.0,192.0)_lag0",0.058845730951682995
27,"so20chgt_anom_z_(4.0,228.0)_lag0",0.05318513221076904
28,"t2m_anom_z_(-4.0,210.0)_lag6",0.04722095908359947
29,"so20chgt_anom_z_(-4.0,212.0)_lag0",0.04577392357793686
30,"sohtc300_anom_z_(-10.0,274.0)_lag7",0.04120751228148567
31,"avg_iews_anom_z_(4.0,172.0)_lag0",0.045838660499883055
32,"t2m_anom_z_(2.0,200.0)_lag4",0.04670371966563547
33,"sossheig_anom_z_(0.0,226.0)_lag0",0.050145692594063984
34,"so20chgt_anom_z_(-4.0,200.0)_lag0",0.04377561003931962
35,"sst_anom_z_(0.0,184.0)_lag1",0.0412279889066931
36,"so20chgt_anom_z_(2.0,200.0)_lag0",0.04143625579038046
37,"so20chgt_anom_z_(0.0,240.0)_lag0",0.028930503354802628
38,"t2m_anom_z_(-2.0,210.0)_lag5",0.03315573316985043
39,"sohtc300_anom_z_(-10.0,272.0)_lag8",0.03175755199050245
40,"sst_anom_z_(6.0,192.0)_lag0",0.030511272083737495
41,"sossheig_anom_z_(2.0,178.0)_lag0",0.028272391419863485
42,"so20chgt_anom_z_(-4.0,200.0)_lag2",0.026744094826070874
43,"avg_iews_anom_z_(4.0,162.0)_lag0",0.0275816633431738
44,"sossheig_anom_z_(4.0,226.0)_lag0",0.02502414046544832
45,"so20chgt_anom_z_(2.0,210.0)_lag0",0.022362498266923492
46,"t2m_anom_z_(0.0,208.0)_lag7",0.021205081623724364
47,"so20chgt_anom_z_(-4.0,228.0)_lag0",0.01708658236691596
48,"so20chgt_anom_z_(-4.0,200.0)_lag1",0.01650517622614256
49,"t2m_anom_z_(0.0,210.0)_lag4",0.01743489436483525
