n_estimators,max_depth,learning_rate,val_rmse,val_acc
500,6,0.1,0.6821033306017706,0.3819150791559778
300,6,0.1,0.68210346722637,0.38191513583344994
500,3,0.1,0.6823460658568549,0.3899369360636314
200,6,0.1,0.6824442879464298,0.38172855277222545
100,6,0.1,0.683260480216312,0.37913181915495453
100,3,0.1,0.6848048105922843,0.41628094785099734
300,3,0.1,0.685343581728406,0.4029746932299048
100,5,0.1,0.6879276196799301,0.3959272521347045
500,5,0.1,0.689320016779189,0.3893220045029958
300,5,0.1,0.6893297383752948,0.3896024773249918
200,5,0.1,0.6897738377495671,0.39146883868749327
200,3,0.1,0.6945905547095261,0.3910036750680212
500,5,0.01,0.6954416315653211,0.3777021164848957
300,5,0.01,0.697514641289313,0.40948005041876573
200,5,0.01,0.7033169428922943,0.4278974425361707
500,5,0.05,0.7033639850362275,0.3657918875751484
300,3,0.01,0.7043375785896279,0.40083730107277027
500,3,0.05,0.7047400710051218,0.34819976673042996
500,3,0.01,0.7059254385302655,0.3880676628228734
300,6,0.05,0.706176941436038,0.34571804887900826
500,6,0.05,0.706188862386251,0.34419140652925806
200,6,0.05,0.7063799168843266,0.3460231053257025
200,5,0.05,0.7067303556877031,0.36601071951447295
300,5,0.05,0.7070890247902304,0.36333503233109704
100,5,0.05,0.707094729272252,0.3726916066095866
100,5,0.2,0.7076163586937676,0.38390031082398957
500,5,0.2,0.7078901309944913,0.3833659198988039
300,5,0.2,0.7078901360994792,0.3833658860895098
200,5,0.2,0.7079555521121242,0.3834412187703747
300,3,0.05,0.7081306045264181,0.34813460415025077
100,6,0.05,0.7082827307960998,0.3371296093480945
100,3,0.01,0.7091100151313846,0.4611074105146883
200,3,0.05,0.7092913764943347,0.36338950626873995
200,3,0.01,0.7093388898544196,0.43016829546943464
100,3,0.05,0.7148173423337523,0.3755639435049884
500,6,0.01,0.720333035089376,0.3582987028916943
100,5,0.01,0.7248127393087468,0.35846240173356303
500,4,0.01,0.7326168862911661,0.38264024605268165
300,6,0.01,0.7329080917644001,0.34079596758926317
100,4,0.1,0.7335822122660732,0.4080082726914335
200,4,0.01,0.734811599535032,0.41928909379376056
300,4,0.01,0.7359227189644821,0.40743859577029695
100,4,0.01,0.7362264323557675,0.3849399286301961
200,4,0.1,0.7365533882778957,0.4083637653413902
100,4,0.05,0.7396030446446538,0.39802933977609417
200,4,0.05,0.7421059913014295,0.3863119925319836
500,4,0.1,0.7432076907260129,0.3901152683272164
300,4,0.1,0.7433060164206678,0.39007376580992237
200,6,0.01,0.7438418737571738,0.30482826940881436
500,6,0.2,0.7449688824804181,0.3159579416416673
300,6,0.2,0.7449688828903075,0.3159579446400165
200,6,0.2,0.7449688839099412,0.3159579675980058
100,6,0.2,0.7449836289302552,0.31593994822811056
500,4,0.05,0.7504815269250161,0.3666675014629325
300,4,0.05,0.7521995674998087,0.3737225231537935
100,4,0.2,0.754443480583553,0.3996185315579215
100,6,0.01,0.75644410014575,0.22391581744961944
200,4,0.2,0.756577643177488,0.39163580971466355
500,4,0.2,0.7566373978297224,0.39128058305393865
300,3,0.2,0.7568796966647522,0.33885769615337286
300,4,0.2,0.7569982319149339,0.3910422300051463
500,3,0.2,0.7574017618369325,0.33700068226310664
100,3,0.2,0.7576436252621896,0.33769860301013216
200,3,0.2,0.7606169380458927,0.3397335006207174
