max_depth,n_estimators,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,train_rmse,val_rmse,val_acc
2,300,0.05,0.6,0.6,20,0.0,5,0.3934405857967272,0.6000174822133933,0.573223461959933
2,300,0.1,0.8,0.8,20,0.0,1,0.28617326600653525,0.601123360560373,0.5846087759169325
2,300,0.1,0.6,0.6,20,0.0,5,0.31094770999861093,0.6021121820498615,0.5700891603726373
2,300,0.05,0.6,0.6,20,1.0,1,0.395699714475461,0.6036778048389124,0.5761390358069843
2,300,0.1,0.6,0.6,20,0.5,5,0.3245184558421214,0.6039773127873496,0.5869488720344838
2,200,0.1,0.8,0.8,20,0.0,1,0.33646688340067415,0.6050880546451198,0.5761714237374904
2,200,0.05,0.6,0.6,20,0.0,5,0.4375131701760142,0.606816778830318,0.5733825807881242
2,300,0.05,0.6,0.6,20,0.5,5,0.4029004747350134,0.6087026338879555,0.5592227693309154
2,200,0.1,0.6,0.6,20,1.0,1,0.373605021988404,0.6090978003371484,0.5738073025018047
2,300,0.05,0.6,0.6,10,0.0,1,0.35933758458770254,0.6097645226604469,0.5901119697600882
2,200,0.1,0.6,0.6,20,0.0,1,0.3519529348197291,0.6097914163226037,0.6047178304391073
2,200,0.05,0.6,0.6,20,1.0,1,0.43763920671563983,0.609869220068235,0.5669031476608063
2,200,0.1,0.6,0.6,20,0.0,5,0.36375655832017506,0.6106404904601275,0.5654803514818039
2,200,0.05,0.6,0.6,20,0.5,5,0.4449253845268393,0.6120176321684112,0.5608134202072151
2,200,0.1,0.8,0.7,20,0.0,1,0.3399146094429064,0.6120263998191575,0.5882653996194113
2,300,0.05,0.6,0.6,20,0.5,10,0.4113603794042395,0.6125033263983775,0.5690139036632481
2,300,0.05,0.6,0.6,20,1.0,5,0.40730929515523956,0.6128249397444715,0.5737260553812217
3,200,0.05,0.6,0.6,5,0.5,5,0.3164950033016058,0.6128862702119753,0.6050240458033145
2,200,0.1,0.6,0.6,10,0.0,5,0.349415988503693,0.6129090393253206,0.6072278462994196
3,300,0.05,0.6,0.6,5,0.5,5,0.2523886649235157,0.6139100258413315,0.59765479497212
2,300,0.1,0.8,0.8,20,0.5,1,0.29176251513908563,0.6140985423769888,0.5828241398870355
2,300,0.1,0.6,0.6,20,1.0,1,0.320882090857675,0.6143907325869661,0.5852465670114987
2,300,0.05,0.6,0.6,20,0.5,1,0.38749468292427286,0.6144708534539005,0.5754705735310139
2,200,0.05,0.6,0.6,10,0.0,1,0.4091323867893262,0.6155451445958188,0.5893278767061159
2,300,0.1,0.8,0.8,20,0.5,5,0.3044884645435718,0.6162027867253235,0.575393781790812
2,200,0.1,0.8,0.8,5,0.5,10,0.34450975456007144,0.616372052255334,0.5743224417689674
2,200,0.05,0.6,0.6,5,1.0,1,0.41608340782597225,0.6169170208090602,0.5703056736638944
3,200,0.05,0.8,0.8,20,0.5,1,0.32647903012525203,0.616956032214114,0.5749862778963967
2,200,0.1,0.8,0.8,20,0.5,1,0.3426784507014518,0.6169614542326025,0.5688729905861764
2,200,0.1,0.8,0.8,10,1.0,5,0.34956695617055716,0.6170461209331589,0.5598082618085137
2,200,0.1,0.8,0.7,10,0.0,1,0.3177832090535218,0.6170692561473368,0.600694432264774
3,200,0.05,0.7,0.7,10,0.5,1,0.3030336627622613,0.6171023170062793,0.5946605434920772
2,300,0.05,0.6,0.6,20,0.0,1,0.38192727695739453,0.6171063614496617,0.5822778185390627
2,200,0.1,0.6,0.6,20,0.5,5,0.37682351265588776,0.6171749796525612,0.5636465506305854
2,300,0.1,0.6,0.6,10,0.5,5,0.2983557725276421,0.6180639489018519,0.5681409766353972
2,300,0.1,0.6,0.6,20,0.0,1,0.29788647623709974,0.618079804755837,0.6061610080973086
2,200,0.1,0.8,0.8,20,0.5,5,0.355073226736366,0.618231600380209,0.5584351205941296
3,300,0.05,0.8,0.8,10,0.0,1,0.2195692719941805,0.6188253981176612,0.6056723350578299
2,200,0.05,0.6,0.6,20,1.0,5,0.4470110901355679,0.618920397351672,0.5643465633916085
3,300,0.05,0.6,0.6,5,0.0,10,0.2650739607596084,0.6189932957975218,0.6152605232978754
