rank,feature,mifs_score
0,"sossheig_anom_z_(0.0,192.0)_lag0",0.34617089121752054
1,"t2m_anom_z_(4.0,218.0)_lag5",0.18732474230869878
2,"sst_anom_z_(-12.0,264.0)_lag6",0.12756263374961385
3,"sst_anom_z_(0.0,234.0)_lag0",0.1279920448635341
4,"msl_anom_z_(10.0,204.0)_lag0",0.130492515591758
5,"avg_inss_anom_z_(8.0,210.0)_lag4",0.13212320349557105
6,"so20chgt_anom_z_(4.0,228.0)_lag1",0.1431655570052004
7,"avg_iews_anom_z_(4.0,168.0)_lag0",0.13926021678770972
8,"so20chgt_anom_z_(-2.0,198.0)_lag0",0.13200487190695132
9,"avg_inss_anom_z_(0.0,240.0)_lag9",0.1289449998181702
10,"sst_anom_z_(0.0,162.0)_lag5",0.1207255976395949
11,"avg_inss_anom_z_(4.0,206.0)_lag3",0.12342154193504662
12,"msl_anom_z_(18.0,208.0)_lag1",0.12775270129629268
13,"so20chgt_anom_z_(2.0,206.0)_lag1",0.1305212634490509
14,"t2m_anom_z_(10.0,200.0)_lag0",0.12581755949100382
15,"sst_anom_z_(-4.0,270.0)_lag9",0.12533946425938902
16,"ttr_anom_z_(4.0,176.0)_lag6",0.10741995465681597
17,"sossheig_anom_z_(0.0,226.0)_lag0",0.11812678671599697
18,"avg_inss_anom_z_(8.0,208.0)_lag3",0.10499161201971718
19,"t2m_anom_z_(-10.0,258.0)_lag7",0.10903349960971864
20,"sst_anom_z_(2.0,176.0)_lag1",0.10970967808267984
21,"so20chgt_anom_z_(0.0,204.0)_lag0",0.11108659887559824
22,"msl_anom_z_(12.0,210.0)_lag2",0.10621276144237424
23,"avg_iews_anom_z_(4.0,150.0)_lag0",0.10376372541211598
24,"t2m_anom_z_(-2.0,204.0)_lag8",0.10288997335432759
25,"msl_anom_z_(20.0,216.0)_lag0",0.10459252096283134
26,"t2m_anom_z_(-2.0,202.0)_lag4",0.10052404452525154
27,"avg_inss_anom_z_(0.0,198.0)_lag9",0.09876428829740913
28,"ttr_anom_z_(8.0,154.0)_lag0",0.09713846210810884
29,"so20chgt_anom_z_(-4.0,200.0)_lag0",0.09764265210398637
30,"msl_anom_z_(12.0,210.0)_lag3",0.09516699821781227
31,"so20chgt_anom_z_(2.0,210.0)_lag0",0.0941497661902786
32,"avg_inss_anom_z_(0.0,238.0)_lag8",0.09228372222923165
33,"ttr_anom_z_(10.0,154.0)_lag2",0.09389164970124186
34,"sst_anom_z_(6.0,190.0)_lag1",0.09758986080335985
35,"t2m_anom_z_(-8.0,230.0)_lag6",0.09732866111350136
36,"avg_inss_anom_z_(-6.0,154.0)_lag0",0.09385513434335158
37,"avg_inss_anom_z_(6.0,212.0)_lag3",0.09245114043255187
38,"msl_anom_z_(14.0,210.0)_lag0",0.09345328731166846
39,"so20chgt_anom_z_(2.0,200.0)_lag0",0.09506084106126211
40,"t2m_anom_z_(6.0,214.0)_lag0",0.09537009537355612
41,"avg_inss_anom_z_(-2.0,134.0)_lag0",0.09042602959023416
42,"t2m_anom_z_(-4.0,264.0)_lag9",0.09229828380197791
43,"t2m_anom_z_(-2.0,198.0)_lag5",0.09084715664973597
44,"sossheig_anom_z_(2.0,206.0)_lag0",0.09364053421901097
45,"ttr_anom_z_(0.0,222.0)_lag4",0.08886826681035886
46,"avg_iews_anom_z_(6.0,162.0)_lag0",0.09003467284247701
47,"so20chgt_anom_z_(2.0,234.0)_lag0",0.0864539457467961
48,"avg_inss_anom_z_(8.0,216.0)_lag5",0.08602181725318436
49,"avg_iews_anom_z_(4.0,150.0)_lag1",0.08523662565175405
