K,val_rmse
1,1.148444068004229
2,1.1312988325833615
4,0.9844484951917098
6,0.8487820531636932
8,0.7298082511462435
10,0.7194875537756126
12,0.7928500804927533
14,0.7630631657363742
16,0.7526714408150762
18,0.7623470867188261
20,0.7800332256636857
22,0.7439894280303426
24,0.746672033664148
26,0.7381150295592489
28,0.7545500728086041
30,0.74343948489243
32,0.7484340042818624
34,0.7586324591578462
36,0.7547292533025564
38,0.7604511855837154
40,0.7947393898939151
42,0.7924511926419167
44,0.784833143320766
46,0.7835469598956905
48,0.7980587993488422
50,0.8103801946887406
