max_depth,n_estimators,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,train_rmse,val_rmse,val_acc
2,300,0.1,0.6,0.8,20,0.0,5,0.35808,0.65344,0.40385
2,300,0.1,0.6,0.8,10,0.0,5,0.33239,0.65922,0.37877
2,300,0.1,0.6,0.8,10,0.5,5,0.34539,0.66047,0.37691
2,300,0.1,0.6,0.8,5,0.0,5,0.32387,0.66062,0.40846
2,300,0.1,0.6,0.8,10,0.0,10,0.34501,0.66166,0.37844
2,300,0.05,0.6,0.8,10,0.5,5,0.42407,0.66193,0.39055
2,300,0.05,0.6,0.8,10,1.0,5,0.42909,0.66289,0.38378
2,300,0.1,0.6,0.8,5,0.0,10,0.33853,0.6635,0.38202
2,300,0.05,0.6,0.8,10,0.0,1,0.4062,0.66373,0.39491
2,300,0.1,0.6,0.8,5,1.0,5,0.3491,0.66417,0.39321
2,300,0.05,0.6,0.8,5,0.0,10,0.42283,0.66464,0.37855
2,300,0.05,0.6,0.8,10,0.0,5,0.41755,0.66566,0.38385
2,300,0.1,0.6,0.8,5,1.0,1,0.33357,0.66595,0.41151
2,300,0.05,0.6,0.8,5,0.0,5,0.40979,0.66665,0.37559
2,300,0.1,0.6,0.8,5,0.5,5,0.33566,0.66684,0.38887
2,300,0.1,0.6,0.8,5,0.5,10,0.35347,0.66686,0.37114
3,300,0.1,0.6,0.8,5,0.0,1,0.15825,0.66702,0.48348
2,200,0.1,0.6,0.8,5,0.5,5,0.38338,0.66723,0.36864
2,300,0.05,0.6,0.8,10,1.0,10,0.44008,0.66786,0.37264
2,300,0.1,0.6,0.8,5,0.0,1,0.30421,0.66824,0.47901
3,200,0.1,0.6,0.8,5,0.0,1,0.2203,0.66869,0.47573
2,300,0.1,0.6,0.8,10,0.0,1,0.31613,0.6687,0.43089
2,300,0.05,0.6,0.8,5,1.0,10,0.43507,0.66922,0.37595
2,300,0.05,0.6,0.8,10,0.0,10,0.42908,0.66946,0.37602
2,300,0.05,0.6,0.8,5,0.5,10,0.42838,0.66975,0.37239
2,300,0.05,0.6,0.8,10,0.5,10,0.43452,0.67046,0.38501
2,200,0.1,0.6,0.8,20,0.0,5,0.40598,0.67066,0.36657
3,200,0.1,0.7,0.8,5,0.5,1,0.22838,0.67175,0.42681
2,200,0.1,0.8,0.8,20,1.0,10,0.41951,0.67195,0.37937
2,200,0.1,0.6,0.8,5,0.0,5,0.37575,0.67218,0.38039
2,200,0.1,0.8,0.8,20,0.5,10,0.40979,0.67246,0.37774
2,300,0.05,0.8,0.7,5,0.0,5,0.40827,0.67251,0.38299
