rank,feature,mifs_score
0,"sossheig_anom_z_(0.0,192.0)_lag0",0.34300021537552405
1,"sohtc300_anom_z_(0.0,198.0)_lag9",0.15547908903490626
2,"t2m_anom_z_(-14.0,252.0)_lag9",0.16817135254452653
3,"so20chgt_anom_z_(4.0,228.0)_lag1",0.14049685346785878
4,"avg_iews_anom_z_(6.0,162.0)_lag0",0.13588226817192028
5,"sst_anom_z_(2.0,178.0)_lag1",0.1164374447745753
6,"so20chgt_anom_z_(-2.0,198.0)_lag0",0.11782098011789532
7,"sohtc300_anom_z_(-10.0,276.0)_lag9",0.10335312386956419
8,"msl_anom_z_(12.0,212.0)_lag0",0.10254138670763524
9,"sossheig_anom_z_(0.0,250.0)_lag0",0.10729650078491382
10,"sohtc300_anom_z_(0.0,198.0)_lag10",0.11405014228358423
11,"sst_anom_z_(-8.0,260.0)_lag7",0.09874413324347442
12,"t2m_anom_z_(-2.0,202.0)_lag4",0.09824850914770344
13,"so20chgt_anom_z_(-4.0,212.0)_lag0",0.09227164954805067
14,"avg_iews_anom_z_(4.0,152.0)_lag0",0.07417322142751903
15,"sohtc300_anom_z_(-10.0,272.0)_lag9",0.06706080941832715
16,"so20chgt_anom_z_(2.0,232.0)_lag8",0.06973056808333933
17,"so20chgt_anom_z_(2.0,200.0)_lag0",0.07616123288099486
18,"so20chgt_anom_z_(0.0,238.0)_lag0",0.0746228006762446
19,"so20chgt_anom_z_(4.0,224.0)_lag1",0.06565974898660265
20,"t2m_anom_z_(-4.0,210.0)_lag6",0.06814442319650027
21,"avg_iews_anom_z_(4.0,152.0)_lag1",0.06324671029254114
22,"sst_anom_z_(6.0,190.0)_lag0",0.059076936594081086
23,"avg_iews_anom_z_(4.0,172.0)_lag0",0.05551469959287436
24,"sohtc300_anom_z_(-10.0,274.0)_lag7",0.059747877661477045
25,"sohtc300_anom_z_(-6.0,202.0)_lag3",0.054938068322215816
26,"so20chgt_anom_z_(2.0,206.0)_lag1",0.050208553633456
27,"t2m_anom_z_(-2.0,210.0)_lag5",0.049593751006168585
28,"t2m_anom_z_(-10.0,258.0)_lag7",0.04818871648251166
29,"sst_anom_z_(2.0,224.0)_lag0",0.05251148344508705
30,"so20chgt_anom_z_(0.0,204.0)_lag0",0.05332378778075597
31,"so20chgt_anom_z_(-6.0,216.0)_lag0",0.04060207068425736
32,"so20chgt_anom_z_(-4.0,200.0)_lag0",0.036653336693778016
33,"sossheig_anom_z_(2.0,232.0)_lag6",0.037123979251141304
34,"avg_iews_anom_z_(4.0,156.0)_lag0",0.0370507370745492
35,"sossheig_anom_z_(0.0,226.0)_lag0",0.03677061720510233
36,"sst_anom_z_(4.0,184.0)_lag1",0.03490161015344917
37,"t2m_anom_z_(0.0,208.0)_lag7",0.033199904235407196
38,"so20chgt_anom_z_(0.0,202.0)_lag2",0.03303714720233142
39,"sohtc300_anom_z_(0.0,196.0)_lag10",0.02758540758497441
40,"avg_iews_anom_z_(4.0,176.0)_lag0",0.031006689940690446
41,"sohtc300_anom_z_(-10.0,272.0)_lag8",0.03259375244722795
42,"so20chgt_anom_z_(2.0,196.0)_lag0",0.03237273776530403
43,"so20chgt_anom_z_(-6.0,210.0)_lag0",0.027873315083862593
44,"t2m_anom_z_(2.0,200.0)_lag4",0.028724012645191976
45,"so20chgt_anom_z_(0.0,216.0)_lag1",0.029568684860699967
46,"t2m_anom_z_(-10.0,252.0)_lag7",0.02751694285452233
47,"sohtc300_anom_z_(0.0,196.0)_lag0",0.028708546458241724
48,"sohtc300_anom_z_(0.0,202.0)_lag9",0.030192235436576453
49,"sst_anom_z_(6.0,188.0)_lag0",0.024339195455959306
50,"avg_iews_anom_z_(4.0,150.0)_lag0",0.022039845539028935
51,"so20chgt_anom_z_(-4.0,200.0)_lag1",0.022351936536548322
52,"sossheig_anom_z_(2.0,216.0)_lag0",0.01948754321535473
53,"so20chgt_anom_z_(2.0,202.0)_lag0",0.013317927901469684
54,"sst_anom_z_(6.0,190.0)_lag1",0.013431335111451226
55,"avg_iews_anom_z_(2.0,166.0)_lag0",0.012072799678221724
56,"so20chgt_anom_z_(-4.0,202.0)_lag2",0.012335752532200317
57,"t2m_anom_z_(-2.0,202.0)_lag5",0.013320002385026175
58,"so20chgt_anom_z_(0.0,246.0)_lag0",0.010983529913116019
59,"sossheig_anom_z_(0.0,170.0)_lag1",0.009249590076120473
60,"sohtc300_anom_z_(-6.0,202.0)_lag2",0.0065479245442641165
61,"so20chgt_anom_z_(2.0,200.0)_lag1",0.006403695180360103
62,"avg_iews_anom_z_(4.0,168.0)_lag0",0.007413446187099826
63,"sohtc300_anom_z_(0.0,200.0)_lag9",0.0064723297898248155
64,"so20chgt_anom_z_(2.0,210.0)_lag0",0.004188151798249606
65,"so20chgt_anom_z_(-4.0,228.0)_lag0",0.0022745236687713444
66,"sohtc300_anom_z_(4.0,200.0)_lag0",-0.0009666094653537627
67,"t2m_anom_z_(-2.0,210.0)_lag6",-0.001026228546958663
68,"avg_iews_anom_z_(2.0,156.0)_lag0",0.0010666267933023832
69,"so20chgt_anom_z_(2.0,210.0)_lag1",-0.0018268671189503038
70,"sossheig_anom_z_(2.0,178.0)_lag0",-0.003130359927938642
71,"sst_anom_z_(2.0,176.0)_lag1",-0.004196095912994302
72,"so20chgt_anom_z_(-2.0,196.0)_lag0",-0.0067750602315856945
73,"so20chgt_anom_z_(0.0,240.0)_lag0",-0.004516688903609012
74,"t2m_anom_z_(-2.0,208.0)_lag5",-0.004263891084350213
75,"avg_iews_anom_z_(2.0,166.0)_lag1",-0.007000933202323978
76,"sossheig_anom_z_(-2.0,190.0)_lag0",-0.007338551003159388
77,"sst_anom_z_(6.0,194.0)_lag1",-0.010881634036763899
78,"so20chgt_anom_z_(-4.0,200.0)_lag2",-0.010648856678294738
79,"t2m_anom_z_(0.0,204.0)_lag7",-0.00945474047254935
