n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,val_rmse,val_acc
500,6,0.1,0.7,0.85,5,0.0,0.6054246226052712,0.5659482967710339
300,6,0.1,0.7,0.85,5,0.0,0.6054316268137448,0.5653566602192838
500,6,0.05,0.7,0.7,1,0.1,0.6248813733832724,0.5789063868672403
300,6,0.05,0.7,0.7,1,0.1,0.6250122980098197,0.5782864263548928
300,6,0.05,0.7,0.85,5,0.0,0.6257125819627407,0.5497330553202118
500,6,0.05,0.7,0.7,3,1.0,0.6277368135584895,0.5677468523576629
300,6,0.05,0.7,0.7,3,1.0,0.6277449929957268,0.5657808621109072
500,6,0.1,1.0,0.7,5,0.0,0.6277899474742238,0.5321735312081772
300,6,0.1,1.0,0.7,5,0.0,0.6278929301354447,0.5318234138283365
500,6,0.05,0.7,0.85,5,0.0,0.6279895797085877,0.54988009028848
300,5,0.05,0.7,0.85,3,0.1,0.6284560332039693,0.5536002613560184
300,4,0.05,0.7,0.85,5,1.0,0.6286209530608501,0.588468759176298
300,6,0.1,0.7,0.7,1,0.0,0.6292130506065391,0.5572520876355554
500,6,0.1,0.7,0.7,1,0.0,0.6293085709837326,0.5571174548637182
500,5,0.05,0.7,0.85,3,0.1,0.6302744765528168,0.5549562792980621
300,4,0.1,0.85,0.85,1,1.0,0.6309390299158161,0.5742236172080022
500,4,0.1,0.85,0.85,1,1.0,0.6316240320736026,0.5758340954485196
300,4,0.05,0.7,1.0,1,0.1,0.6319649304988127,0.5745848946568609
300,5,0.1,0.7,0.85,5,0.0,0.6323992554057163,0.5637196817260628
500,5,0.1,0.7,0.85,5,0.0,0.6328821282594115,0.5643438474192217
300,5,0.1,0.7,0.7,1,0.0,0.6335507257880177,0.5734061465548331
500,5,0.1,0.7,0.7,1,0.0,0.6337821410578356,0.5735927720871038
500,4,0.05,0.7,0.85,5,1.0,0.6339162843763366,0.5945991325950791
500,6,0.1,0.7,0.85,3,1.0,0.6348632299320337,0.5735156449062321
300,6,0.1,0.7,0.85,5,0.1,0.6350899868407259,0.5220178668283753
500,6,0.1,0.7,0.85,5,0.1,0.6352506907000455,0.5221653507873548
500,4,0.05,0.7,1.0,1,0.1,0.6359379960196869,0.5715499046727257
500,6,0.05,0.7,0.85,3,1.0,0.6359427809571965,0.576575406299389
300,6,0.05,0.7,0.85,3,1.0,0.6362041088396772,0.5755286001420533
300,6,0.1,0.7,0.85,3,1.0,0.6363930342992378,0.5726100110751811
500,5,0.1,0.7,0.85,3,1.0,0.6366838527774732,0.5716973861285368
500,5,0.05,0.7,0.7,1,1.0,0.6370958547985431,0.5552557154206315
500,6,0.1,0.7,0.85,1,1.0,0.6371916822948138,0.5541721582461592
300,4,0.1,1.0,0.7,3,0.1,0.6375225858204996,0.6066263541890851
300,4,0.05,0.7,1.0,3,1.0,0.6380040789057423,0.5668187683066754
