n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,val_rmse,val_acc
300,4,0.1,0.85,1.0,1,0.0,0.575245184488994,0.58430486970342
500,4,0.1,0.85,1.0,1,0.0,0.5773933825852953,0.579814686681617
300,4,0.05,1.0,1.0,5,1.0,0.5782965687653767,0.6063013835015584
300,4,0.1,0.85,1.0,3,1.0,0.5786757964111704,0.6525853023543944
300,4,0.1,0.85,1.0,5,0.1,0.5790986706978914,0.6072758904723816
300,4,0.1,1.0,1.0,3,1.0,0.5794531534906319,0.5928456007096122
500,4,0.1,1.0,1.0,3,1.0,0.5794531534906319,0.5928456007096122
500,4,0.1,0.85,1.0,3,1.0,0.579855024062231,0.6513409872646997
300,5,0.1,0.85,1.0,3,1.0,0.580839274078101,0.6213085789944125
300,4,0.1,0.85,1.0,3,0.0,0.581408368555097,0.5956735751537583
500,4,0.1,0.85,1.0,5,0.1,0.5814304954839828,0.603252835148938
500,5,0.1,0.85,1.0,3,1.0,0.5828088372668998,0.621104602619667
500,4,0.1,0.85,1.0,3,0.0,0.5828825221159969,0.5937766226533007
300,4,0.1,1.0,1.0,5,1.0,0.5840585715193276,0.5709001214530718
500,4,0.1,1.0,1.0,5,1.0,0.5840585715193276,0.5709001214530718
300,4,0.05,1.0,1.0,1,1.0,0.5852138954188107,0.5889474534401314
500,4,0.05,1.0,1.0,5,1.0,0.5891464290505225,0.5938865019435386
300,4,0.05,1.0,1.0,1,0.1,0.5892472239289068,0.5777856203082649
300,4,0.1,1.0,1.0,1,1.0,0.5897496934289355,0.5677221226879535
500,4,0.1,1.0,1.0,1,1.0,0.5897496934289355,0.5677221226879535
300,4,0.05,1.0,1.0,3,1.0,0.5904940558038311,0.5768763086173546
500,4,0.05,1.0,1.0,1,1.0,0.5910383591314953,0.5804072408526197
300,6,0.1,0.85,0.7,1,0.0,0.591486562101392,0.540989346999557
500,6,0.1,0.85,0.7,1,0.0,0.5915087678410774,0.5409477414460101
300,6,0.1,0.7,0.85,5,1.0,0.5925504183310004,0.6008142929922603
300,4,0.05,0.7,0.7,5,0.0,0.5926404379547364,0.6128583785147063
300,5,0.05,0.7,0.7,5,0.1,0.5935697251352376,0.5711307323083078
500,6,0.1,0.7,0.85,5,1.0,0.5937656969788383,0.5987010068001348
